"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","activation_effective_sample_size","active_condition_number","active_max_eigenvalue","active_min_eigenvalue","dead_neurons_pct","explained_variance","feature_shrinkage_ratio","interaction_leakage_frobenius","l0_active_features","l0_vs_l1_ratio","loss","loss_l1","loss_l2","loss_recon","loss_total","mean_h_j","mean_max_cosine_similarity","shadowed_ids","shadowed_scores","step","total_h_j","warmup_factor","weight_bimodality_ratio","batch_size","device","dtype","learning_rate","log_interval","max_activations_window","measured_flops_per_step","measured_gflops_per_step","model_type","num_steps","rho","seed","warmup_steps","dict_active_condition_number_p95","dict_expected_active_condition_number","dict_expected_active_condition_number_std","dict_expected_active_min_eig","dict_expected_active_min_eig_std","dict_expected_irc_exact","dict_expected_irc_uniform","dict_expected_signal_ceiling_l_inf","dict_max_abs_offdiag","dict_mean_abs_offdiag","dict_singular_active_block_pct","model_class","dead_neuron_recovery_rate","measured_cumulative_flops","measured_cumulative_tflops","dead_neuron_recovery_pct","dictionary_coherence_abs_max","dictionary_coherence_nn/mean","dictionary_coherence_nn/p10","dictionary_coherence_nn/p50","dictionary_coherence_nn/p90","dictionary_coherence_nn/std","dictionary_coherence_nn_max","dictionary_coherence_overall_mean","dictionary_coherence_subsampled","dictionary_coherence_total_features","dictionary_coherence_used_features"
"spiked-rho0.00-topk_baseline_sweep004-seed0","finished","-","","model=topk_baseline_sweep004, regularization-sweep, rho=0.00, seed=0, spiked, topk-sweep","2026-04-27T13:06:04.000Z","208","","zdnh4dy7","","","2026-04-27T13:09:32.000Z","2026-04-27T13:09:32.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","2.4277126789093018","1.3897560834884644","0.5724549293518066","0.68359375","0.8984456658363342","0.9495912790298462","18.387052536010746","128","0.7398539781570435","0.027506468817591667","0","0","0.027506468817591667","0.027506468817591667","0.377323716878891","0.42704588174819946","[959,139,328,595,877]","[0.9967673420906068,0.9965854287147522,0.9965139031410216,0.9963167309761048,0.9962027668952942]","50000","338.08203125","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep004","50000","0","0","10000","2.5668721199035645","2.320218086242676","0.1516345739364624","0.6251575946807861","0.029285414144396785","0.8680747747421265","1.386025309562683","3.232156991958618","0.3207763433456421","0.04987932741641998","0","TopKSAE","1","40275161600000","40.2751616","100","0.9969432353973388","0.42704588174819946","0.2164670079946518","0.39858976006507874","0.9930055141448976","0.20968413352966309","0.9969432353973388","0.12476319074630736","0","1024","1024"
"spiked-rho0.30-topk_baseline_sweep004-seed0","finished","-","","model=topk_baseline_sweep004, regularization-sweep, rho=0.30, seed=0, spiked, topk-sweep","2026-04-27T13:04:55.000Z","236","","ssa2gxdy","","","2026-04-27T13:08:51.000Z","2026-04-27T13:08:51.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","2.610745906829834","1.9142987728118896","0.7332382798194885","82.03125","0.7375646233558655","0.9742156863212584","20.941621780395508","127.96875","1.023437738418579","0.05143124237656593","0","0","0.05143124237656593","0.05143124237656593","0.4879184067249298","0.21318495273590088","[696,270,794,100,684]","[0.6341811418533325,0.6309825778007507,0.6293397545814514,0.6220662593841553,0.6154401898384094]","50000","437.17486572265625","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep004","50000","0.3","0","10000","14.133993148803713","12.609667778015137","0.8959334492683411","0.4402015507221222","0.02230069227516651","1.0924173593521118","1.5935043096542358","12.365979194641112","0.5403863191604614","0.3003201186656952","0","TopKSAE","0.05730994152046784","40275161600000","40.2751616","5.730994152046784","0.3055850863456726","0.21318495273590088","0.18974769115448","0.2098996639251709","0.24091102182865143","0.02050202526152134","0.3055850863456726","0.04912185296416283","0","1024","1024"
"spiked-rho0.50-topk_baseline_sweep004-seed0","finished","-","","model=topk_baseline_sweep004, regularization-sweep, rho=0.50, seed=0, spiked, topk-sweep","2026-04-27T13:04:55.000Z","236","","crnpcno6","","","2026-04-27T13:08:51.000Z","2026-04-27T13:08:51.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","3.595822334289551","2.8456594944000244","0.7913793325424194","86.42578125","0.6580597162246704","0.989395260810852","19.569650650024418","107.26171875","1.1063237190246582","0.05025199428200722","0","0","0.05025199428200722","0.05025199428200722","0.41614675521850586","0.2131611406803131","[909,328,69,968,205]","[0.550550103187561,0.5389031171798706,0.5384162664413452,0.5355392694473267,0.5341290235519409]","50000","381.1904296875","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep004","50000","0.5","0","10000","30.267372131347656","27.221097946166992","1.656125545501709","0.31392088532447815","0.016098249703645706","1.0519155263900757","1.629536747932434","18.23720359802246","0.6731202602386475","0.5002263188362122","0","TopKSAE","0.03592120509849363","40275161600000","40.2751616","3.5921205098493627","0.2918587028980255","0.2131611406803131","0.1896357387304306","0.21033379435539248","0.24201872944831848","0.020977213978767395","0.2918587028980255","0.049519725143909454","0","1024","1024"
"spiked-rho0.70-topk_baseline_sweep004-seed0","finished","-","","model=topk_baseline_sweep004, regularization-sweep, rho=0.70, seed=0, spiked, topk-sweep","2026-04-27T13:04:28.000Z","241","","bcduma1i","","","2026-04-27T13:08:29.000Z","2026-04-27T13:08:29.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","12.804866790771484","4.244990348815918","0.33151382207870483","87.98828125","0.671339750289917","0.9963921308517456","19.295366287231445","102.35546875","0.9643077254295348","0.03194812685251236","0","0","0.03194812685251236","0.03194812685251236","0.4016989469528198","0.2159201502799988","[416,501,247,367,389]","[0.522365927696228,0.522101879119873,0.5163053274154663,0.5162377953529358,0.5156658887863159]","50000","369.9647216796875","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep004","50000","0.7","0","10000","67.19499206542969","61.20177459716797","3.3182175159454346","0.1886472254991531","0.009533563628792764","1.021691083908081","1.6485286951065063","23.547697067260746","0.8031947612762451","0.7000904083251953","0","TopKSAE","0.022271714922049","40275161600000","40.2751616","2.2271714922048997","0.6391763687133789","0.2159201502799988","0.19026759266853333","0.21240299940109253","0.24044543504714969","0.029815280809998512","0.6391763687133789","0.049572914838790894","0","1024","1024"
"spiked-rho0.90-topk_baseline_sweep004-seed0","finished","-","","model=topk_baseline_sweep004, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-04-27T13:03:22.000Z","247","","1z9j7hb8","","","2026-04-27T13:07:29.000Z","2026-04-27T13:07:29.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","15.853861808776855","4.140764236450195","0.26118332147598267","89.35546875","0.7760220766067505","0.99259752035141","19.377016067504883","102.30078125","0.7357156276702881","0.010800324380397797","0","0","0.010800324380397797","0.010800324380397797","0.4048106074333191","0.21560893952846527","[380,752,54,566,217]","[0.5374728441238403,0.534428596496582,0.5322226285934448,0.5314078330993652,0.5242596864700317]","50000","372.83056640625","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep004","50000","0.9","0","10000","249.75767517089844","230.09475708007812","11.22629451751709","0.06319468468427658","0.003032300155609846","1.0033146142959597","1.6536331176757812","29.470619201660156","0.933442771434784","0.8995360136032104","0","TopKSAE","0.0065717415115005475","40275161600000","40.2751616","0.6571741511500547","0.6919240355491638","0.21560893952846527","0.19009989500045776","0.21129527688026428","0.2383262664079666","0.03744199126958847","0.6919240355491638","0.04961851239204407","0","1024","1024"
"spiked-rho0.00-topk_baseline_sweep003-seed0","finished","-","","model=topk_baseline_sweep003, regularization-sweep, rho=0.00, seed=0, spiked, topk-sweep","2026-04-27T13:01:57.000Z","247","","f1rsdo9e","","","2026-04-27T13:06:04.000Z","2026-04-27T13:06:04.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","4.195239067077637","1.9284896850585935","0.4596852958202362","1.66015625","0.8605437278747559","0.9284774661064148","13.280884742736816","64","0.7182409167289734","0.037429749965667725","0","0","0.037429749965667725","0.037429749965667725","0.18360061943531036","0.33455121517181396","[71,504,315,321,506]","[0.936672866344452,0.9311978816986084,0.925971269607544,0.925286591053009,0.9187517762184144]","50000","176.256591796875","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep003","50000","0","0","10000","2.5668721199035645","2.320218086242676","0.1516345739364624","0.6251575946807861","0.029285414144396785","0.8680747747421265","1.386025309562683","3.232156991958618","0.3207763433456421","0.04987932741641998","0","TopKSAE","1","40275161600000","40.2751616","100","0.9633798003196716","0.33455121517181396","0.2144673466682434","0.2434122264385223","0.9132816791534424","0.23399460315704343","0.9633798003196716","0.04732545465230942","0","1024","1024"
"spiked-rho0.50-topk_baseline_sweep003-seed0","finished","-","","model=topk_baseline_sweep003, regularization-sweep, rho=0.50, seed=0, spiked, topk-sweep","2026-04-27T13:00:49.000Z","246","","7pn4z6t2","","","2026-04-27T13:04:55.000Z","2026-04-27T13:04:55.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","5.748717308044434","4.633935928344727","0.8060817122459412","90.0390625","0.4711065888404846","0.9833773970603944","15.504915237426758","63.84765625","1.0533325672149658","0.0768762081861496","0","0","0.0768762081861496","0.0768762081861496","0.2450982630252838","0.2131456583738327","[627,651,851,93,3]","[0.35219791531562805,0.33902639150619507,0.33848387002944946,0.338140606880188,0.33782637119293213]","50000","235.29432678222656","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep003","50000","0.5","0","10000","30.267372131347656","27.221097946166992","1.656125545501709","0.31392088532447815","0.016098249703645706","1.0519155263900757","1.629536747932434","18.23720359802246","0.6731202602386475","0.5002263188362122","0","TopKSAE","0.03991130820399113","40275161600000","40.2751616","3.9911308203991127","0.29775792360305786","0.2131456583738327","0.18966259062290192","0.2099153697490692","0.2426433116197586","0.021098021417856216","0.29775792360305786","0.0500759482383728","0","1024","1024"
"spiked-rho0.30-topk_baseline_sweep003-seed0","finished","-","","model=topk_baseline_sweep003, regularization-sweep, rho=0.30, seed=0, spiked, topk-sweep","2026-04-27T13:00:48.000Z","246","","cahfd3zq","","","2026-04-27T13:04:54.000Z","2026-04-27T13:04:54.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","4.683171272277832","2.842022180557251","0.606858491897583","86.03515625","0.49233829975128174","0.9596746563911438","15.103026390075684","64","0.977699339389801","0.09870000183582306","0","0","0.09870000183582306","0.09870000183582306","0.23421457409858704","0.2134029716253281","[296,892,47,385,119]","[0.3864938914775848,0.3805893063545227,0.376699298620224,0.3735411465167999,0.371802031993866]","50000","224.84597778320312","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep003","50000","0.3","0","10000","14.133993148803713","12.609667778015137","0.8959334492683411","0.4402015507221222","0.02230069227516651","1.0924173593521118","1.5935043096542358","12.365979194641112","0.5403863191604614","0.3003201186656952","0","TopKSAE","0.07505773672055427","40275161600000","40.2751616","7.505773672055427","0.3632534444332123","0.2134029716253281","0.1889849603176117","0.2114456743001938","0.23963233828544617","0.021710967645049095","0.3632534444332123","0.04966001957654953","0","1024","1024"
"spiked-rho0.70-topk_baseline_sweep003-seed0","finished","-","","model=topk_baseline_sweep003, regularization-sweep, rho=0.70, seed=0, spiked, topk-sweep","2026-04-27T13:00:21.000Z","246","","5txqsc8r","","","2026-04-27T13:04:27.000Z","2026-04-27T13:04:27.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","17.92752456665039","7.13317346572876","0.39788949489593506","89.84375","0.5020259022712708","0.9903738498687744","15.523642539978027","61.6328125","1.0015275478363037","0.04776670038700104","0","0","0.04776670038700104","0.04776670038700104","0.240623876452446","0.21618323028087616","[483,333,850,441,113]","[0.3803563714027405,0.3713073134422302,0.34352853894233704,0.3378269076347351,0.3374492824077606]","50000","231.48016357421875","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep003","50000","0.7","0","10000","67.19499206542969","61.20177459716797","3.3182175159454346","0.1886472254991531","0.009533563628792764","1.021691083908081","1.6485286951065063","23.547697067260746","0.8031947612762451","0.7000904083251953","0","TopKSAE","0.04560260586319218","40275161600000","40.2751616","4.5602605863192185","0.5197057127952576","0.21618323028087616","0.19066734611988068","0.21275317668914795","0.24277618527412417","0.028633302077651024","0.5197057127952576","0.05013818293809891","0","1024","1024"
"spiked-rho0.90-topk_baseline_sweep003-seed0","finished","-","","model=topk_baseline_sweep003, regularization-sweep, rho=0.90, seed=0, spiked, topk-sweep","2026-04-27T12:59:15.000Z","246","","jc3fqwwh","","","2026-04-27T13:03:21.000Z","2026-04-27T13:03:21.000Z","f6d49b862c80","","467cae41aa704293a344762bfbb96562e08b2edb","https://github.com/farischaudhry/adaptive-elastic-sae/tree/467cae41aa704293a344762bfbb96562e08b2edb","1","NVIDIA RTX PRO 6000 Blackwell Server Edition","","15.594157218933104","3.8913588523864746","0.2495395392179489","93.45703125","0.65643310546875","0.9993889331817628","15.333942413330078","61.59765625","0.914570689201355","0.016027364879846573","0","0","0.016027364879846573","0.016027364879846573","0.24264205992221832","0.2160569578409195","[571,227,693,1000,691]","[0.3682562112808227,0.3674628734588623,0.36570000648498535,0.3634043335914612,0.3612357974052429]","50000","233.42166137695312","1","","256","cuda","torch.float32","0.001","500","10000","805503232","0.805503232","topk_baseline_sweep003","50000","0.9","0","10000","249.75767517089844","230.09475708007812","11.22629451751709","0.06319468468427658","0.003032300155609846","1.0033146142959597","1.6536331176757812","29.470619201660156","0.933442771434784","0.8995360136032104","0","TopKSAE","0.005235602094240838","40275161600000","40.2751616","0.5235602094240838","0.735127329826355","0.2160569578409195","0.1906120926141739","0.21130184829235077","0.24116958677768707","0.03700538352131843","0.735127329826355","0.0498763807117939","0","1024","1024"
